sample	n_loci	n_used_fw_reads	mean_cov	mean_cov_ns	n_unpaired_read	n_pcr_dupl_pairs	pcr_dupl_rate	records	primary_kept	kept_frac	primary_kept_read2	primary_disc_mapq	primary_disc_sclip	unmapped	secondary	supplementary
bb_f_10	177287	234546	1.323	1.328	19346	24495	0.095	667661	554524	0.831	276137	44685	30544	27677	0	10231
bb_f_110	462416	2140734	4.629	4.827	661989	3682068	0.632	16600261	12926148	0.779	6441357	1170120	1438136	402566	0	663291
bb_f_119	495618	5810966	11.725	12.406	800883	2189395	0.274	21310261	17365560	0.815	8564316	1423739	1441846	578835	0	500281
bb_f_121	492545	6198059	12.584	13.272	704573	1770280	0.222	20857910	17243472	0.827	8570560	1427485	1152066	477017	0	557870
bb_f_129	460412	2133489	4.634	4.818	656670	3690248	0.634	16484182	12915915	0.784	6435508	1108447	1411126	403782	0	644912
bb_f_131	477747	2674050	5.597	5.85	822238	4764011	0.64	20960965	16474048	0.786	8213749	1457081	1737463	494284	0	798089
bb_f_157	431743	8915840	20.651	21.644	895209	2558324	0.223	29116172	24576336	0.844	12206963	1757713	1447890	765513	0	568720
bb_f_161	457435	2596166	5.675	5.913	423822	630457	0.195	9099294	7197014	0.791	3546569	610814	723905	243927	0	323634
bb_f_165	462152	2265398	4.902	5.089	782636	4257726	0.653	18712083	14556845	0.778	7251085	1296913	1613327	466911	0	778087
bb_f_168	501075	5734574	11.445	11.988	544221	1160637	0.168	17456625	14791805	0.847	7352373	1101461	832007	407007	0	324345
bb_f_170	491211	6182101	12.585	13.224	664643	1713488	0.217	20522096	17035218	0.83	8474986	1434783	1083498	490337	0	478260
bb_f_174	487559	4985038	10.224	10.764	690485	1809508	0.266	18163965	14757599	0.812	7272568	1216379	1253617	505253	0	431117
bb_f_181	494102	5195704	10.515	11.095	644292	1646783	0.241	17804611	14758999	0.829	7272220	1078090	1142290	486249	0	338983
bb_f_183	45970	49185	1.07	1.072	5959	834	0.017	142806	109845	0.769	53867	8674	8839	12750	0	2698
bb_f_186	424865	5946202	13.996	14.576	546573	1392578	0.19	18650982	15689554	0.841	7804201	1210732	923749	477503	0	349444
bb_f_189	485151	3184068	6.563	6.898	635740	2260875	0.415	15074757	11968577	0.794	5887894	1087630	1137331	441128	0	440091
bb_f_19	477576	6323282	13.24	13.936	731232	1819963	0.223	21490397	17651846	0.821	8777369	1490789	1248531	522574	0	576657
bb_f_191	445881	1835563	4.117	4.248	213721	477224	0.206	6031412	4982178	0.826	2455670	372950	390119	175973	0	110192
bb_f_193	476312	2285323	4.798	4.997	210675	362404	0.137	6794327	5683953	0.837	2825551	459451	341091	167179	0	142653
