sample	n_loci	n_used_fw_reads	mean_cov	mean_cov_ns	n_unpaired_reads	n_pcr_dupl_pairs	pcr_dupl_rate
bb_f_10	177287	234546	1.323	1.328	19346	24495	0.095
bb_f_110	462416	2140734	4.629	4.827	661989	3682068	0.632
bb_f_119	495618	5810966	11.725	12.406	800883	2189395	0.274
bb_f_121	492545	6198059	12.584	13.272	704573	1770280	0.222
bb_f_129	460412	2133489	4.634	4.818	656670	3690248	0.634
bb_f_131	477747	2674050	5.597	5.85	822238	4764011	0.64
bb_f_157	431743	8915840	20.651	21.644	895209	2558324	0.223
bb_f_161	457435	2596166	5.675	5.913	423822	630457	0.195
bb_f_165	462152	2265398	4.902	5.089	782636	4257726	0.653
bb_f_168	501075	5734574	11.445	11.988	544221	1160637	0.168
bb_f_170	491211	6182101	12.585	13.224	664643	1713488	0.217
bb_f_174	487559	4985038	10.224	10.764	690485	1809508	0.266
bb_f_181	494102	5195704	10.515	11.095	644292	1646783	0.241
bb_f_183	45970	49185	1.07	1.072	5959	834	0.017
bb_f_186	424865	5946202	13.996	14.576	546573	1392578	0.19
bb_f_189	485151	3184068	6.563	6.898	635740	2260875	0.415
bb_f_19	477576	6323282	13.24	13.936	731232	1819963	0.223
bb_f_191	445881	1835563	4.117	4.248	213721	477224	0.206
bb_f_193	476312	2285323	4.798	4.997	210675	362404	0.137
bb_f_20	498558	6584287	13.207	14.002	702148	1420596	0.177
bb_f_213	478579	3224747	6.738	7.047	764851	3816034	0.542
bb_f_218	450351	1932745	4.292	4.462	473982	2138097	0.525
bb_f_221	490984	4417455	8.997	9.495	578439	1357222	0.235
bb_f_231	464006	2134450	4.6	4.77	206220	313840	0.128
bb_f_236	485685	4470627	9.205	9.661	492101	1125030	0.201
bb_f_237	442390	1773540	4.009	4.165	577274	3204437	0.644
bb_f_239	424281	1367530	3.223	3.313	379698	1994865	0.593
bb_f_24	487693	5266283	10.798	11.354	590716	1362178	0.206
bb_f_282	383806	975218	2.541	2.604	280771	1510534	0.608
bb_f_288	410937	5438020	13.233	13.803	497945	1195635	0.18
bb_f_316	482057	3391221	7.035	7.365	818942	4058190	0.545
bb_f_320	463494	2256473	4.868	5.064	569241	2598532	0.535
bb_f_4	484330	5613302	11.59	12.202	777501	2121705	0.274
bb_f_41	406525	1881167	4.627	4.775	546345	3113724	0.623
bb_f_43	430893	6585415	15.283	15.934	607926	1618356	0.197
bb_f_46	474777	3701387	7.796	8.165	707932	2653458	0.418
bb_f_5	511243	6826609	13.353	14.616	980765	2633082	0.278
bb_f_56	424200	6407633	15.105	15.766	604785	1500365	0.19
bb_f_66	486960	5343411	10.973	11.545	762314	1941791	0.267
bb_f_82	473078	5330835	11.268	11.791	567527	1431911	0.212
bb_f_99	498049	4671836	9.38	9.941	932210	3581931	0.434
bb_s_1	436134	6163225	14.131	14.744	1143201	1287479	0.173
bb_s_104	472251	2688903	5.694	5.948	504410	1862851	0.409
bb_s_108	486837	4491765	9.226	9.705	622433	1385403	0.236
bb_s_114	419470	6326374	15.082	15.844	584505	1510654	0.193
bb_s_116	485367	5392720	11.111	11.676	723929	1949849	0.266
bb_s_126	447863	7350434	16.412	17.221	1398017	1689129	0.187
bb_s_13	500249	3579145	7.155	7.811	572831	925985	0.206
bb_s_133	483668	3131781	6.475	6.808	648920	2261001	0.419
bb_s_135	460002	2097898	4.561	4.748	682534	3856868	0.648
bb_s_141	505497	12366239	24.464	26.004	1625115	4909049	0.284
bb_s_143	490049	5641887	11.513	12.134	718663	1818638	0.244
bb_s_151	472009	2231409	4.727	4.936	680655	3863489	0.634
bb_s_153	494789	6111065	12.351	13.044	639696	1281778	0.173
bb_s_159	439838	2371686	5.392	5.592	372652	565804	0.193
bb_s_167	443770	7206670	16.24	16.978	1307339	1611911	0.183
bb_s_170	492035	4002779	8.135	8.589	772990	2927058	0.422
bb_s_172	454694	2008999	4.418	4.595	485909	2248703	0.528
bb_s_175	475487	3545437	7.456	7.81	534879	925387	0.207
bb_s_18	475410	3654883	7.688	8.029	454499	1199150	0.247
bb_s_185	423709	6970162	16.45	17.18	638365	1733144	0.199
bb_s_193	491210	4870924	9.916	10.46	676672	1759163	0.265
bb_s_20	488872	4906726	10.037	10.554	665665	1377838	0.219
bb_s_204	492737	5665590	11.498	12.141	777544	2096195	0.27
bb_s_205	495711	5055376	10.198	10.779	674297	1617379	0.242
bb_s_206	54528	59277	1.087	1.089	6958	1305	0.022
bb_s_207	443391	5638236	12.716	13.26	1032962	1140052	0.168
bb_s_209	499931	5057838	10.117	10.756	653380	1575175	0.237
bb_s_210	475843	2739893	5.758	6.016	653008	3192809	0.538
bb_s_216	464977	2270863	4.884	5.083	725974	4238368	0.651
bb_s_220	490091	6299054	12.853	13.528	677448	1788905	0.221
bb_s_225	500771	3974467	7.937	8.421	774147	2941110	0.425
bb_s_237	487491	4542033	9.317	9.808	632820	1550511	0.254
bb_s_241	434118	7004425	16.135	16.881	1318948	1558461	0.182
bb_s_246	504745	11128964	22.049	23.57	1579904	4308331	0.279
bb_s_250	452457	2504373	5.535	5.76	415084	608703	0.196
bb_s_256	422256	1790190	4.24	4.388	319092	408529	0.186
bb_s_262	427227	1324552	3.1	3.188	357365	1949412	0.595
bb_s_273	420154	2803044	6.671	6.873	488592	434440	0.134
bb_s_277	453343	1922436	4.241	4.415	635355	3571946	0.65
bb_s_283	37660	39805	1.057	1.058	5834	2106	0.05
bb_s_284	32831	34475	1.05	1.051	6790	7674	0.182
bb_s_287	416140	3559825	8.554	8.829	632178	569237	0.138
bb_s_292	372975	941978	2.526	2.588	273129	1450393	0.606
bb_s_300	476513	2402471	5.042	5.268	751191	4149793	0.633
bb_s_311	495426	5381577	10.863	11.481	738320	1711006	0.241
bb_s_314	488283	5239662	10.731	11.289	593808	1387869	0.209
bb_s_321	28861	30128	1.044	1.045	4987	1452	0.046
bb_s_45	505601	6789342	13.428	14.348	902547	2274854	0.251
bb_s_68	367231	4343861	11.829	12.254	787842	835686	0.161
bb_s_75	492332	4525370	9.192	9.719	1444619	8917745	0.663
bb_s_77	481831	5598897	11.62	12.22	763030	1660514	0.229
bb_s_81	428064	7070039	16.516	17.276	1366758	1577067	0.182
bb_s_86	499640	7578448	15.168	16.11	914375	2358079	0.237
bb_s_89	452445	4796435	10.601	11.169	854736	867987	0.153
cl_f_119	505720	4979088	9.846	10.518	528078	949111	0.16
cl_f_12	483565	5085604	10.517	11.032	587756	1305889	0.204
cl_f_121	431887	6465806	14.971	15.633	590037	1541763	0.193
cl_f_126	423814	6689395	15.784	16.426	601990	1619733	0.195
cl_f_139	447425	6956387	15.548	16.28	1283184	1509499	0.178
cl_f_141	467290	2230415	4.773	4.968	724109	4100528	0.648
cl_f_142	486479	5286085	10.866	11.424	586034	1384818	0.208
cl_f_146	496258	3725970	7.508	7.933	730190	2663065	0.417
cl_f_148	500592	4940653	9.87	10.338	460677	933214	0.159
cl_f_154	447101	6787130	15.18	15.897	1319870	1436295	0.175
cl_f_155	477350	2582557	5.41	5.664	616813	2947538	0.533
cl_f_159	491587	4956358	10.082	10.643	646644	1532907	0.236
cl_f_175	469692	2162976	4.605	4.804	670917	3749636	0.634
cl_f_177	403896	6479015	16.041	16.673	597895	1556572	0.194
cl_f_187	469702	2385792	5.079	5.294	726806	4105323	0.632
cl_f_192	486568	4776728	9.817	10.316	506016	936967	0.164
cl_f_197	482273	4740832	9.83	10.321	672627	1667510	0.26
cl_f_20	469075	3364821	7.173	7.491	640469	2383838	0.415
cl_f_21	444206	2702423	6.084	6.292	893732	5173433	0.657
cl_f_214	457553	2139445	4.676	4.848	274757	631797	0.228
cl_f_226	441190	6818934	15.456	16.138	1245539	1471709	0.178
cl_f_234	484584	4045426	8.348	8.77	538775	1216072	0.231
cl_f_236	470427	2604763	5.537	5.746	258448	550286	0.174
cl_f_25	459526	2116600	4.606	4.782	695530	3854713	0.646
cl_f_260	40404	43468	1.076	1.077	5732	1110	0.025
cl_f_265	482642	3806459	7.887	8.251	419372	887345	0.189
cl_f_269	422352	1579093	3.739	3.846	352075	1553183	0.496
cl_f_270	436949	2005043	4.589	4.76	359237	469390	0.19
cl_f_272	485875	3391528	6.98	7.31	684015	2444897	0.419
cl_f_276	457339	2722435	5.953	6.173	370420	668975	0.197
cl_f_286	498089	6569936	13.19	13.943	901500	2043638	0.237
cl_f_288	476202	4048658	8.502	8.895	580101	1100732	0.214
cl_f_296	467515	4312978	9.225	9.618	433841	797940	0.156
cl_f_312	493542	4507390	9.133	9.64	663020	1578733	0.259
cl_f_314	439617	1704805	3.878	3.996	207068	439216	0.205
cl_f_34	485702	5431377	11.183	11.77	801441	1561120	0.223
cl_f_343	462049	2576503	5.576	5.785	252506	383851	0.13
cl_f_348	405186	6418752	15.841	16.463	594880	1539097	0.193
cl_f_38	489873	5090680	10.392	10.947	679989	1602236	0.239
cl_f_41	445378	7866780	17.663	18.473	758231	2024037	0.205
cl_f_46	426674	5991891	14.043	14.612	1136502	1233099	0.171
cl_f_52	470953	2763727	5.868	6.11	658997	3182129	0.535
cl_f_53	479587	4490733	9.364	9.801	496048	1139867	0.202
cl_f_55	416470	6737771	16.178	16.818	1296207	1496145	0.182
cl_f_56	465415	4749194	10.204	10.673	668396	1690640	0.263
cl_f_68	403454	6343241	15.722	16.323	589276	1526321	0.194
cl_f_76	504081	4766006	9.455	10.221	588902	1428490	0.231
cl_f_79	456706	1949211	4.268	4.435	599644	3289588	0.628
cl_f_85	483542	5348214	11.06	11.627	739639	1960027	0.268
cl_f_88	407173	4747461	11.66	12.073	858262	885115	0.157
cl_s_104	418094	5684780	13.597	14.162	520458	1280004	0.184
cl_s_110	38338	41243	1.076	1.078	8622	40522	0.496
cl_s_113	476297	3819801	8.02	8.404	536804	1249559	0.246
cl_s_115	492498	6148672	12.485	13.139	666425	1700299	0.217
cl_s_117	491642	6183492	12.577	13.314	894154	2327994	0.274
cl_s_119	490973	4783654	9.743	10.278	665987	1670240	0.259
cl_s_129	490988	5562376	11.329	11.955	660019	1534657	0.216
cl_s_142	500553	5900275	11.788	12.527	644606	1242602	0.174
cl_s_147	473206	2836829	5.995	6.244	654253	3238633	0.533
cl_s_148	476955	2877864	6.034	6.313	700895	3383405	0.54
cl_s_154	482963	4251119	8.802	9.24	563869	1270364	0.23
cl_s_17	464119	2322419	5.004	5.204	712192	3954991	0.63
cl_s_179	459257	1850229	4.029	4.19	544872	3006093	0.619
cl_s_188	492697	4125123	8.373	8.834	532104	1226387	0.229
cl_s_189	484256	2668781	5.511	5.793	532828	1818589	0.405
cl_s_19	473802	2783883	5.876	6.132	705108	3232854	0.537
cl_s_190	436950	1539456	3.523	3.645	459665	2514218	0.62
cl_s_199	433095	5863894	13.54	14.114	1070931	1216138	0.172
cl_s_20	401042	6920870	17.257	18.005	1307289	1613272	0.189
cl_s_215	456256	1929395	4.229	4.387	600756	3415621	0.639
cl_s_23	450090	1939324	4.309	4.467	628919	3510001	0.644
cl_s_234	438455	1777071	4.053	4.201	587886	3248068	0.646
cl_s_236	443061	6184078	13.958	14.579	1124955	1291153	0.173
cl_s_249	496428	6056782	12.201	12.907	726692	1696920	0.219
cl_s_257	420714	7038160	16.729	17.451	671537	1778498	0.202
cl_s_26	478689	5118589	10.693	11.208	699948	1863675	0.267
cl_s_27	454770	3019480	6.64	6.911	491102	759521	0.201
cl_s_284	432119	5849913	13.538	14.087	1078505	1160656	0.166
cl_s_30	487564	4872587	9.994	10.515	633248	1546951	0.241
cl_s_308	460407	2092815	4.546	4.712	627901	3537924	0.628
cl_s_310	485862	4353458	8.96	9.428	636986	1528674	0.26
cl_s_32	406612	7040110	17.314	18.066	1338516	1631349	0.188
cl_s_34	456104	2210918	4.847	5.016	666146	3758652	0.63
cl_s_35	496249	5631568	11.348	11.917	614008	1181454	0.173
cl_s_37	461767	2297968	4.976	5.162	744841	4258209	0.649
cl_s_40	493958	3552935	7.193	7.595	723919	2584825	0.421
cl_s_43	475704	2457433	5.166	5.402	786875	4295564	0.636
cl_s_47	490325	6945287	14.165	14.871	773167	2092797	0.232
cl_s_57	429528	6701085	15.601	16.394	642096	1613919	0.194
cl_s_58	473820	5855251	12.358	12.964	608741	1267288	0.178
cl_s_71	463485	2198099	4.743	4.935	666317	3759823	0.631
cl_s_77	483035	6036680	12.497	13.158	801944	2064208	0.255
cl_s_8	490586	4654874	9.488	9.993	486643	840818	0.153
cl_s_9	493923	5331648	10.794	11.385	579636	1018277	0.16
cl_s_96	487337	4090730	8.394	8.828	536427	1190407	0.225
lb_f_100	505818	6364553	12.583	13.39	658693	1373315	0.177
lb_f_109	507642	8458601	16.663	17.812	988130	2103218	0.199
lb_f_114	479871	3383395	7.051	7.397	662524	2414008	0.416
lb_f_119	505327	4726063	9.352	9.97	946456	3616807	0.434
lb_f_134	23390	24493	1.047	1.05	4870	24311	0.498
lb_f_137	457601	1718976	3.756	3.93	546009	2839658	0.623
lb_f_142	528640	3115838	5.894	6.397	361408	989044	0.241
lb_f_143	357748	1038890	2.904	2.981	156873	672136	0.393
lb_f_146	505084	5304137	10.501	11.222	565774	1038040	0.164
lb_f_150	497196	5048162	10.153	10.809	590589	1327060	0.208
lb_f_151	485004	2487691	5.129	5.403	757372	4335898	0.635
lb_f_172	495110	3624352	7.32	7.753	725114	2610571	0.419
lb_f_178	414396	5757946	13.895	14.437	531387	1332766	0.188
lb_f_179	439834	5797159	13.18	13.746	1038033	1159311	0.167
lb_f_185	492644	6556354	13.309	14.071	659700	1453689	0.181
lb_f_191	483818	3897360	8.055	8.47	539466	1338666	0.256
lb_f_197	467380	3550022	7.596	7.93	507567	941100	0.21
lb_f_202	493480	11327423	22.954	24.478	1584696	4489296	0.284
lb_f_206	488560	4783138	9.79	10.319	655600	1724950	0.265
lb_f_214	452430	1795218	3.968	4.129	559947	3014241	0.627
lb_f_220	490892	4688015	9.55	10.039	614978	1612266	0.256
lb_f_226	501022	5155612	10.29	10.985	687254	1612772	0.238
lb_f_230	491670	5137309	10.449	11.013	657699	1638564	0.242
lb_f_232	410349	1232683	3.004	3.084	264600	1169963	0.487
lb_f_237	386719	1300288	3.362	3.458	238947	282208	0.178
lb_f_239	481663	2886319	5.992	6.292	566911	2039442	0.414
lb_f_251	482677	4349492	9.011	9.442	483967	1062224	0.196
lb_f_253	468885	3250818	6.933	7.245	484517	837116	0.205
lb_f_255	459059	2087710	4.548	4.738	508786	2369278	0.532
lb_f_256	461383	2236373	4.847	5.019	229265	446295	0.166
lb_f_275	449469	1881736	4.187	4.348	609004	3414833	0.645
lb_f_284	484779	5833203	12.033	12.643	651104	1607310	0.216
lb_f_305	485676	4045853	8.33	8.763	544276	1221703	0.232
lb_f_49	483351	3982183	8.239	8.64	432161	949325	0.193
lb_f_57	494615	6687504	13.521	14.317	760582	1902544	0.221
lb_f_81	428515	1285477	3	3.126	367651	2100583	0.62
lb_f_91	456666	1936004	4.239	4.402	612508	3490092	0.643
lb_f_96	460693	2952960	6.41	6.68	454453	743174	0.201
lb_s_110	425220	6304989	14.828	15.486	1170486	1340129	0.175
lb_s_125	468624	2184293	4.661	4.853	669263	3688319	0.628
lb_s_129	457286	2379421	5.203	5.408	723868	4050432	0.63
lb_s_13	480626	3821096	7.95	8.329	512988	1138496	0.23
lb_s_135	472737	4218835	8.924	9.359	609019	1152242	0.215
lb_s_138	487913	2942814	6.031	6.361	593734	2035705	0.409
lb_s_148	454694	2022293	4.448	4.629	667388	3764563	0.651
lb_s_151	471229	2594142	5.505	5.761	643971	3009285	0.537
lb_s_159	499334	4559109	9.13	9.737	595513	1390042	0.234
lb_s_170	488685	3213617	6.576	6.928	606669	2239564	0.411
lb_s_171	450703	1761386	3.908	4.06	543509	3109598	0.638
lb_s_176	496323	5045366	10.165	10.769	543271	1008168	0.167
lb_s_184	449885	2277235	5.062	5.236	304271	535189	0.19
lb_s_19	493274	6670082	13.522	14.27	667227	1455661	0.179
lb_s_204	433916	7927938	18.271	19.091	1522466	1940245	0.197
lb_s_207	470188	4645901	9.881	10.361	696120	1310251	0.22
lb_s_21	488949	5644159	11.543	12.159	617857	1543381	0.215
lb_s_211	494819	4219519	8.527	9.005	863968	3075131	0.422
lb_s_226	489923	3624545	7.398	7.815	756300	2631411	0.421
lb_s_231	409164	6907798	16.883	17.582	652423	1743788	0.202
lb_s_239	28956	30246	1.045	1.045	7795	5717	0.159
lb_s_242	469654	2535843	5.399	5.599	835263	4786922	0.654
lb_s_245	443521	1719910	3.878	4.002	377242	1715855	0.499
lb_s_248	489325	4549560	9.298	9.715	519288	1333005	0.227
lb_s_257	493430	6140504	12.445	13.141	658607	1229815	0.167
lb_s_269	473053	3251125	6.873	7.171	344247	714445	0.18
lb_s_280	489826	5071129	10.353	10.905	651234	1570465	0.236
lb_s_292	453615	1895414	4.178	4.338	251126	552059	0.226
lb_s_295	492345	5128594	10.417	10.995	734083	1853892	0.266
lb_s_309	397630	1182522	2.974	3.054	330480	1721552	0.593
lb_s_313	448133	1722154	3.843	3.988	413342	1917811	0.527
lb_s_38	440087	1758046	3.995	4.134	520447	2912292	0.624
lb_s_39	425727	6038818	14.185	14.783	567282	1396290	0.188
lb_s_4	469026	3497364	7.457	7.785	479635	1174784	0.251
lb_s_41	503868	7611482	15.106	16.087	819540	1737277	0.186
lb_s_50	487018	5694194	11.692	12.298	581605	1154731	0.169
lb_s_62	487005	4414471	9.065	9.524	510814	1098961	0.199
lb_s_63	451497	1956145	4.333	4.499	647662	3583424	0.647
lb_s_72	507958	7034656	13.849	14.81	723031	1480766	0.174
lb_s_77	418131	7166034	17.138	17.863	722602	1897390	0.209
lb_s_80	441056	1676832	3.802	3.937	535540	2966297	0.639
lb_s_82	422084	6686146	15.841	16.534	1249828	1485485	0.182
lb_s_90	387146	1622871	4.192	4.286	130845	238737	0.128
rs_f_10	481481	5200936	10.802	11.359	749258	1693040	0.246
rs_f_114	471423	2547952	5.405	5.648	768712	4508781	0.639
rs_f_115	445652	2005372	4.5	4.674	656685	3710190	0.649
rs_f_120	483826	16487150	34.077	36.946	2606009	8547653	0.341
rs_f_13	459659	2370121	5.156	5.39	798622	4497430	0.655
rs_f_130	497896	4879196	9.8	10.425	1413634	6062950	0.554
rs_f_135	506211	12655432	25	26.86	1571863	4088093	0.244
rs_f_137	483696	3304529	6.832	7.199	972502	3931970	0.543
rs_f_138	482847	3599286	7.454	7.816	1320171	6936767	0.658
rs_f_144	493562	4562702	9.244	9.797	1264984	5674606	0.554
rs_f_152	470964	3765488	7.995	8.378	571276	1002702	0.21
rs_f_157	503060	6326028	12.575	13.419	1442980	5170523	0.45
rs_f_158	490096	4903313	10.005	10.548	1308488	6285082	0.562
rs_f_160	576776	9571189	16.594	19.25	1319572	3497073	0.268
rs_f_168	417554	6820060	16.333	17.272	702152	1768245	0.206
rs_f_178	490429	5466739	11.147	11.763	615525	1491512	0.214
rs_f_18	488146	5791299	11.864	12.519	793936	1907107	0.248
rs_f_183	463594	1997251	4.308	4.481	369115	1199311	0.375
rs_f_185	445758	1767653	3.965	4.119	548231	2939930	0.625
rs_f_186	449806	6491902	14.433	15.109	1237188	1392607	0.177
rs_f_189	371378	2092082	5.633	5.772	183842	344185	0.141
rs_f_203	488285	5454551	11.171	11.757	633403	1427952	0.207
rs_f_204	447504	1842198	4.117	4.278	607050	3382590	0.647
rs_f_205	487874	4906481	10.057	10.601	538173	930443	0.159
rs_f_210	482832	4837818	10.02	10.554	731370	1760537	0.267
rs_f_214	482481	4424754	9.171	9.625	591688	1311787	0.229
rs_f_215	28350	29697	1.048	1.048	7583	660	0.022
rs_f_217	415458	1498667	3.607	3.721	261215	323636	0.178
rs_f_228	484398	3068908	6.336	6.664	749494	3492488	0.532
rs_f_233	415200	6182166	14.89	15.522	590234	1483098	0.193
rs_f_236	495374	5810288	11.729	12.448	642025	1221416	0.174
rs_f_240	12859	13154	1.023	1.024	1714	1755	0.118
rs_f_241	416044	6132530	14.74	15.368	588587	1424957	0.189
rs_f_257	448876	4145151	9.235	9.644	579157	1143493	0.216
rs_f_262	33836	35581	1.052	1.053	8652	3721	0.095
rs_f_263	38917	41407	1.064	1.066	6948	7317	0.15
rs_f_270	484674	3305725	6.821	7.124	1124874	6495466	0.663
rs_f_272	370862	2523891	6.805	6.99	223637	432144	0.146
rs_f_290	430730	3427688	7.958	8.327	602297	546749	0.138
rs_f_31	472892	4090956	8.651	9.087	836589	3073230	0.429
rs_f_34	479934	4682305	9.756	10.232	535961	1200578	0.204
rs_f_42	420453	7198070	17.12	17.916	700104	1801930	0.2
rs_f_45	484339	6920962	14.289	15.086	815007	2126353	0.235
rs_f_46	420553	7057906	16.782	17.54	682575	1761484	0.2
rs_f_5	459675	2512157	5.465	5.676	775223	4422918	0.638
rs_f_53	479029	2578922	5.384	5.645	651980	2887686	0.528
rs_f_54	489533	5730810	11.707	12.368	615412	1169186	0.169
rs_f_66	476790	4677444	9.81	10.333	688770	1351225	0.224
rs_f_79	486522	2995093	6.156	6.482	764761	3404044	0.532
rs_f_85	456065	2175478	4.77	4.961	655662	3578011	0.622
rs_f_87	480530	2370076	4.932	5.193	722609	3911434	0.623
rs_s_10	467722	3541069	7.571	7.909	517063	1201605	0.253
rs_s_106	464881	2491359	5.359	5.586	614051	2816571	0.531
rs_s_113	213394	297047	1.392	1.399	23942	31750	0.097
rs_s_118	447550	5972122	13.344	13.98	1170972	1249669	0.173
rs_s_12	409038	6839362	16.721	17.407	661367	1715768	0.201
rs_s_120	435222	6991458	16.064	16.835	1353624	1581526	0.184
rs_s_125	419861	6079675	14.48	15.103	613803	1446215	0.192
rs_s_127	457227	2064425	4.515	4.701	676296	3824723	0.649
rs_s_136	487269	4182248	8.583	9.073	582790	1228490	0.227
rs_s_140	434635	5752795	13.236	13.82	1080979	1163931	0.168
rs_s_15	473667	3554720	7.505	7.849	727440	2593747	0.422
rs_s_152	488811	3116147	6.375	6.718	633694	2186928	0.412
rs_s_164	485221	3211269	6.618	6.967	635659	2262423	0.413
rs_s_166	478024	4148747	8.679	9.109	589694	1432132	0.257
rs_s_169	471500	2888961	6.127	6.403	718629	3327936	0.535
rs_s_170	481636	3730528	7.746	8.137	780808	2737492	0.423
rs_s_172	489026	4987684	10.199	10.758	573077	980178	0.164
rs_s_175	475406	2405984	5.061	5.301	602935	2699410	0.529
rs_s_178	474437	2980865	6.283	6.566	709241	3526570	0.542
rs_s_182	482383	3945742	8.18	8.596	462078	959900	0.196
rs_s_188	481834	4186154	8.688	9.134	604304	1452108	0.258
rs_s_196	461608	2226259	4.823	5.017	732154	4116096	0.649
rs_s_212	451907	5913301	13.085	13.707	1130172	1179859	0.166
rs_s_219	485562	3181816	6.553	6.912	617663	2264627	0.416
rs_s_223	480870	3054551	6.352	6.682	783702	3626843	0.543
rs_s_226	498914	4141997	8.302	8.822	844511	3118389	0.43
rs_s_240	479958	3474904	7.24	7.621	513109	1164938	0.251
rs_s_242	405921	5649631	13.918	14.491	547162	1319398	0.189
rs_s_244	425595	2832872	6.656	6.868	521176	467702	0.142
rs_s_247	406087	5537734	13.637	14.172	520442	1258900	0.185
rs_s_250	489492	5937708	12.13	12.817	654193	1657981	0.218
rs_s_253	478393	2489225	5.203	5.446	454298	1549791	0.384
rs_s_258	396715	2627289	6.623	6.813	237606	466380	0.151
rs_s_267	483291	4574428	9.465	9.944	473738	849103	0.157
rs_s_27	475714	4479672	9.417	9.872	606056	1405252	0.239
rs_s_278	481458	4164510	8.65	9.092	561843	1273697	0.234
rs_s_283	489247	7648955	15.634	16.5	826068	1766055	0.188
rs_s_285	484059	3280915	6.778	7.122	649450	2318928	0.414
rs_s_287	483094	4127452	8.544	9.008	623979	1449726	0.26
rs_s_290	425852	6037694	14.178	14.807	1139003	1312156	0.179
rs_s_291	477107	3134202	6.569	6.886	793587	3697041	0.541
rs_s_30	416754	5861247	14.064	14.63	547483	1383254	0.191
rs_s_302	451057	1881342	4.171	4.334	363260	1126611	0.375
rs_s_306	433800	1649787	3.803	3.933	513431	2818818	0.631
rs_s_31	485865	5999174	12.347	12.99	672314	1674445	0.218
rs_s_316	477824	2924275	6.12	6.411	594967	2056858	0.413
rs_s_321	2449	2462	1.005	1.005	334	405	0.141
rs_s_33	516626	15093088	29.215	31.513	2202694	6833026	0.312
rs_s_331	441682	1799244	4.074	4.219	603488	3296220	0.647
rs_s_344	45562	48875	1.073	1.074	5012	11545	0.191
rs_s_35	476318	2964013	6.223	6.528	618441	2086785	0.413
rs_s_353	460733	2653938	5.76	5.989	348559	631452	0.192
rs_s_356	473744	3628520	7.659	8.022	473831	1054392	0.225
rs_s_36	437715	1771395	4.047	4.193	577088	3215519	0.645
rs_s_360	440463	2078103	4.718	4.871	660438	3827182	0.648
rs_s_363	475728	3770049	7.925	8.284	434678	902780	0.193
rs_s_369	452489	2042741	4.514	4.682	666465	3749236	0.647
rs_s_371	440782	1651484	3.747	3.872	514509	2777612	0.627
rs_s_379	439459	1910543	4.347	4.496	251717	482740	0.202
rs_s_381	417359	5708001	13.676	14.278	1089278	1180846	0.171
rs_s_383	375479	981310	2.613	2.678	294060	1502399	0.605
rs_s_4	479287	4078039	8.509	8.957	676389	1160237	0.221
rs_s_44	435357	1720159	3.951	4.087	562089	3128582	0.645
rs_s_64	480605	3132870	6.519	6.839	771795	3669281	0.539
rs_s_65	399717	6340317	15.862	16.575	606398	1583027	0.2
rs_s_69	426314	1635135	3.836	3.957	374915	1812649	0.526
rs_s_73	459576	2053587	4.468	4.637	698533	3702615	0.643
rs_s_76	512006	13975294	27.295	29.389	2005787	6051571	0.302
rs_s_8	471482	4896073	10.384	10.891	755441	1823452	0.271
rs_s_83	493604	5176400	10.487	11.089	558026	963345	0.157
rs_s_84	478141	2884747	6.033	6.326	711099	3317958	0.535
rs_s_85	441492	1833422	4.153	4.298	570277	3052314	0.625
rs_s_87	427769	6737638	15.751	16.457	1318486	1499269	0.182
