pop	sample	records	primary_kept	kept_frac	primary_kept_read2	primary_disc_mapq	primary_disc_sclip	unmapped	secondary	supplementary
bb	bb_f_1	23064442	19519821	0.846	9731722	1338637	1137394	653608	0	414982
bb	bb_f_10	667661	554524	0.831	276137	44685	30544	27677	0	10231
bb	bb_f_100	19042067	15848665	0.832	7919444	1206781	1090504	399386	0	496731
bb	bb_f_101	17010300	14014183	0.824	6925875	1135348	960206	548829	0	351734
bb	bb_f_102	28401560	23271340	0.819	11157931	1855934	1781011	953793	0	539482
bb	bb_f_103	12341666	10186828	0.825	4983430	793367	822880	308955	0	229636
bb	bb_f_104	30917859	25281328	0.818	12167944	2009155	2137584	910323	0	579469
bb	bb_f_105	13152309	10893650	0.828	5420105	851848	774288	302702	0	329821
bb	bb_f_106	21930326	18138775	0.827	8868467	1333425	1409109	653775	0	395242
bb	bb_f_108	17127546	14270648	0.833	7041466	1102464	907375	519085	0	327974
bb	bb_f_109	25317287	21565022	0.852	10782015	1455139	1207183	625748	0	464195
bb	bb_f_11	24238259	20535119	0.847	10273787	1392784	1180745	695884	0	433727
bb	bb_f_110	16600261	12926148	0.779	6441357	1170120	1438136	402566	0	663291
bb	bb_f_111	15189184	12847744	0.846	6410967	944420	719212	417626	0	260182
bb	bb_f_112	16468149	13778579	0.837	6794088	1072549	915183	375473	0	326365
bb	bb_f_113	22969607	18881853	0.822	9227493	1444294	1488072	720571	0	434817
bb	bb_f_114	11006678	8792707	0.799	4230958	718685	849689	305557	0	340040
bb	bb_f_115	18972880	16106615	0.849	8083232	1150105	934083	401543	0	380534
bb	bb_f_116	23761191	20193750	0.850	10108225	1421294	1116524	594882	0	434741
bb	bb_f_117	22801321	18853075	0.827	9255885	1437358	1512517	555518	0	442853
bb	bb_f_118	13953726	11389837	0.816	5587163	921184	995574	364005	0	283126
bb	bb_f_119	21310261	17365560	0.815	8564316	1423739	1441846	578835	0	500281
bb	bb_f_12	19543611	16377707	0.838	8046215	1121864	1097483	621002	0	325555
bb	bb_f_120	18262219	14644398	0.802	7032340	1297433	1345106	551645	0	423637
bb	bb_f_121	20857910	17243472	0.827	8570560	1427485	1152066	477017	0	557870
bb	bb_f_122	6930429	5793814	0.836	2886793	464000	390150	138958	0	143507
bb	bb_f_123	18975612	15152355	0.799	7170345	1224759	1332235	763269	0	502994
bb	bb_f_124	16547720	14011037	0.847	6888380	927468	844548	518121	0	246546
bb	bb_f_125	27884908	22588630	0.810	10858537	1797963	2055355	813718	0	629242
bb	bb_f_126	20450798	17355927	0.849	8691599	1228350	979379	505540	0	381602
bb	bb_f_127	12974137	10730176	0.827	5318611	859376	693952	307882	0	382751
bb	bb_f_128	18277119	15302007	0.837	7582475	1127674	1004992	478331	0	364115
bb	bb_f_129	16484182	12915915	0.784	6435508	1108447	1411126	403782	0	644912
bb	bb_f_13	21509137	17651771	0.821	8667346	1304853	1467206	665472	0	419835
bb	bb_f_130	24640390	19128698	0.776	9442220	1651260	1639679	1835103	0	385650
bb	bb_f_131	20960965	16474048	0.786	8213749	1457081	1737463	494284	0	798089
bb	bb_f_132	27993361	23765855	0.849	11833172	1677381	1263611	800637	0	485877
bb	bb_f_136	20481802	17089158	0.834	8485795	1454924	975848	511686	0	450186
bb	bb_f_137	23138198	18983704	0.820	9282768	1574811	1540832	604951	0	433900
bb	bb_f_138	15316762	12774792	0.834	6382340	938104	842275	452513	0	309078
bb	bb_f_139	23465613	19038084	0.811	9243960	1556381	1630673	684776	0	555699
bb	bb_f_14	29808386	25051186	0.840	12570313	1897820	1547032	651902	0	660446
bb	bb_f_141	25700142	20498250	0.798	9739743	1756691	1788908	985483	0	670810
bb	bb_f_142	13757930	11544469	0.839	5768520	790795	756654	385246	0	280766
bb	bb_f_143	16388176	13317042	0.813	6625255	1194956	994162	428662	0	453354
bb	bb_f_144	19036546	13832038	0.727	6715034	1716866	1517984	1309832	0	659826
bb	bb_f_145	19912426	16674613	0.837	8292512	1295952	1068310	425147	0	448404
bb	bb_f_147	18282250	15185048	0.831	7443016	1102556	1197986	468166	0	328494
bb	bb_f_15	13725652	11473476	0.836	5730580	819134	764143	392943	0	275956
bb	bb_f_150	17328177	14039082	0.810	6861934	1131010	1218711	506617	0	432757
bb	bb_f_151	9506957	7678227	0.808	3710768	633604	730183	229310	0	235633
bb	bb_f_152	27311159	23178042	0.849	11623402	1667988	1322010	592556	0	550563
bb	bb_f_153	16807224	14160322	0.843	7066080	1044879	858355	415392	0	328276
bb	bb_f_154	23681782	19822892	0.837	9837199	1660933	1124950	571431	0	501576
bb	bb_f_155	13212957	11182484	0.846	5524439	749101	694461	365118	0	221793
bb	bb_f_156	24793796	20962212	0.845	10520117	1554006	1240116	514282	0	523180
bb	bb_f_157	29116172	24576336	0.844	12206963	1757713	1447890	765513	0	568720
bb	bb_f_158	23126766	19458644	0.841	9701142	1457239	1178140	591275	0	441468
bb	bb_f_159	17949917	13102515	0.730	6471178	1733078	1338955	1484636	0	290733
bb	bb_f_16	19541516	15973846	0.817	7846988	1279387	1294282	600955	0	393046
bb	bb_f_160	25310973	20924193	0.827	10324263	1753678	1354727	684768	0	593607
bb	bb_f_161	9099294	7197014	0.791	3546569	610814	723905	243927	0	323634
bb	bb_f_162	19173646	16110388	0.840	8083716	1252651	986973	423374	0	400260
bb	bb_f_163	22007243	18455080	0.839	9186053	1416726	1182105	466871	0	486461
bb	bb_f_164	20321993	17028319	0.838	8407254	1285103	1052949	548001	0	407621
bb	bb_f_165	18712083	14556845	0.778	7251085	1296913	1613327	466911	0	778087
bb	bb_f_166	16117162	13032896	0.809	6367354	991567	1257333	515098	0	320268
bb	bb_f_167	9119819	7493949	0.822	3623348	566567	626987	252321	0	179995
bb	bb_f_168	17456625	14791805	0.847	7352373	1101461	832007	407007	0	324345
bb	bb_f_169	16017412	13206139	0.824	6488459	1039268	1073245	390510	0	308250
bb	bb_f_170	20522096	17035218	0.830	8474986	1434783	1083498	490337	0	478260
bb	bb_f_171	20295448	17245568	0.850	8636885	1196700	962938	531094	0	359148
bb	bb_f_172	15353278	12880106	0.839	6412263	972567	835334	323087	0	342184
bb	bb_f_173	22864143	18774075	0.821	9190522	1625302	1411636	604009	0	449121
bb	bb_f_174	18163965	14757599	0.812	7272568	1216379	1253617	505253	0	431117
bb	bb_f_175	17833966	14654611	0.822	7242183	1213513	991135	601481	0	373226
bb	bb_f_176	16822986	12257608	0.729	6065507	1643003	1267579	1369782	0	285014
bb	bb_f_177	16285689	13524592	0.830	6627449	1033807	1036826	410065	0	280399
bb	bb_f_179	14390293	11906582	0.827	5884235	935338	791523	470815	0	286035
bb	bb_f_18	16873594	13773838	0.816	6793949	1176612	986553	591263	0	345328
bb	bb_f_180	14766095	12415728	0.841	6114790	889567	810616	401751	0	248433
bb	bb_f_181	17804611	14758999	0.829	7272220	1078090	1142290	486249	0	338983
bb	bb_f_182	12260324	9926684	0.810	4940346	901224	762046	327538	0	342832
bb	bb_f_183	142806	109845	0.769	53867	8674	8839	12750	0	2698
bb	bb_f_184	19859547	16185164	0.815	7934421	1369758	1357567	559437	0	387621
bb	bb_f_185	23849535	19574943	0.821	9496073	1585977	1681046	600402	0	407167
bb	bb_f_186	18650982	15689554	0.841	7804201	1210732	923749	477503	0	349444
bb	bb_f_188	17277567	14212721	0.823	6981985	1144858	1154493	430964	0	334531
bb	bb_f_189	15074757	11968577	0.794	5887894	1087630	1137331	441128	0	440091
bb	bb_f_19	21490397	17651846	0.821	8777369	1490789	1248531	522574	0	576657
bb	bb_f_190	17733080	14790668	0.834	7386341	1054711	1001973	505096	0	380632
bb	bb_f_191	6031412	4982178	0.826	2455670	372950	390119	175973	0	110192
bb	bb_f_192	8659973	7127111	0.823	3565877	591471	512020	203586	0	225785
bb	bb_f_193	6794327	5683953	0.837	2825551	459451	341091	167179	0	142653
bb	bb_f_194	25540261	20649620	0.809	9922643	1790546	1811318	778746	0	510031
