sample	n_loci	n_used_fw_reads	mean_cov	mean_cov_ns	n_unpaired_reads	n_pcr_dupl_pairs	pcr_dupl_rate
bb_f_1	411055	6845797	16.654	17.570	736605	2205697	0.244
bb_f_10	177287	234546	1.323	1.329	19346	24495	0.095
bb_f_100	484868	5291506	10.913	11.658	593956	2043759	0.279
bb_f_101	422041	5376755	12.740	13.433	634247	1077306	0.167
bb_f_102	490793	8024629	16.350	17.681	1490031	2598749	0.245
bb_f_103	417123	3801661	9.114	9.548	465337	936400	0.198
bb_f_104	505482	8974386	17.754	19.107	1576642	2562356	0.222
bb_f_105	483971	4008651	8.283	8.816	438123	1026771	0.204
bb_f_106	395863	6719092	16.973	17.865	876910	1674306	0.199
bb_f_108	439012	5317317	12.112	12.811	624693	1287172	0.195
bb_f_109	427599	7896068	18.466	20.686	622673	2264266	0.223
bb_f_11	304069	6745754	22.185	23.261	572616	2942962	0.304
bb_f_110	462416	2140734	4.629	4.912	661989	3682068	0.632
bb_f_111	335928	4817822	14.342	14.977	368446	1250509	0.206
bb_f_112	500452	5266173	10.523	11.289	561082	1157236	0.180
bb_f_113	408238	6989521	17.121	18.108	932724	1732115	0.199
bb_f_114	472910	3208547	6.785	7.280	643940	709262	0.181
bb_f_115	374745	5359925	14.303	14.965	453978	2209480	0.292
bb_f_116	351548	6797277	19.335	20.306	548669	2739579	0.287
bb_f_117	417712	6424757	15.381	16.253	859395	2313038	0.265
bb_f_118	424400	4268329	10.057	10.617	560449	973896	0.186
bb_f_119	495618	5810966	11.725	12.652	800883	2189395	0.274
bb_f_12	367259	6038581	16.442	17.273	686635	1606276	0.210
bb_f_120	499654	5471624	10.951	11.848	1003799	1136635	0.172
bb_f_121	492545	6198059	12.584	13.542	704573	1770280	0.222
bb_f_122	487656	2221726	4.556	4.893	214504	470791	0.175
bb_f_123	486675	5349088	10.991	11.830	1237572	1395350	0.207
bb_f_124	343211	4910194	14.307	14.903	517605	1694858	0.257
bb_f_125	508846	8042433	15.805	17.071	1488531	2199129	0.215
bb_f_126	339730	5930235	17.456	18.291	469192	2264901	0.276
bb_f_127	491340	4079035	8.302	8.924	480366	852164	0.173
bb_f_128	388354	5432552	13.989	15.080	549725	1737255	0.242
bb_f_129	460412	2133489	4.634	4.902	656670	3690248	0.634
bb_f_13	390061	6595304	16.908	17.817	801214	1587907	0.194
bb_f_130	251089	3178658	12.659	13.980	794568	5713252	0.643
bb_f_131	477747	2674050	5.597	5.950	822238	4764011	0.640
bb_f_132	371538	8219232	22.122	23.369	745104	2968347	0.265
bb_f_136	497903	6419213	12.892	13.889	637258	1546892	0.194
bb_f_137	433839	6727388	15.507	16.469	882721	2090827	0.237
bb_f_138	312060	4336416	13.896	14.445	404069	1651967	0.276
bb_f_139	510793	6929168	13.566	14.878	1114532	1750424	0.202
bb_f_14	398939	7891204	19.780	21.016	740647	3849022	0.328
bb_f_141	491334	7110148	14.471	15.614	1589852	2058507	0.225
bb_f_142	316214	3966129	12.543	13.007	366747	1443073	0.267
bb_f_143	487799	4771268	9.781	10.458	612886	1307633	0.215
bb_f_144	169758	674854	3.975	4.321	822252	5619898	0.893
bb_f_145	492292	6269360	12.735	13.664	588652	1524089	0.196
bb_f_147	408902	5318863	13.008	13.664	702945	1720224	0.244
bb_f_15	299215	3913978	13.081	13.565	371691	1457227	0.271
bb_f_150	495581	4938370	9.965	10.771	794546	1444232	0.226
bb_f_151	475301	3011977	6.337	6.735	475525	479957	0.137
bb_f_152	384799	7379496	19.178	20.198	673926	3501218	0.322
bb_f_153	425689	5374243	12.625	13.303	459478	1260521	0.190
bb_f_154	498359	7413072	14.875	16.081	742082	1830539	0.198
bb_f_155	344767	4229976	12.269	12.743	398650	1029419	0.196
bb_f_156	403741	6787516	16.812	18.158	604000	3050579	0.310
bb_f_157	431743	8915840	20.651	21.987	895209	2558324	0.223
bb_f_158	436892	7272931	16.647	17.725	724293	1760278	0.195
bb_f_159	297449	1073250	3.608	3.835	513321	5044766	0.825
bb_f_16	434289	6117846	14.087	14.952	730466	1278546	0.173
bb_f_160	499849	7698477	15.402	16.614	951976	1949477	0.202
bb_f_161	457435	2596166	5.675	6.048	423822	630457	0.195
bb_f_162	368999	5323782	14.428	15.104	476270	2226620	0.295
bb_f_163	487981	6891846	14.123	15.131	631626	1745555	0.202
bb_f_164	489556	6390630	13.054	14.007	727364	1503071	0.190
bb_f_165	462152	2265398	4.902	5.170	782636	4257726	0.653
