File	Retained Reads	Adapter Seq	Low Quality	Barcode Not Found	RAD cutsite Not Found	Total
pls-68_R1_001.fastq.gz	645361181	44523341	4198627	107024812	12841737	813949698
pls-2_R1_001.fastq.gz	579819134	68610592	4773974	54330820	6764008	714298528
pls-3_R1_001.fastq.gz	575684749	81165155	7007634	54606908	6937510	725401956
pls-4_R1_001.fastq.gz	582590735	93572330	5669687	69338360	8850032	760021144
pls-5_R1_001.fastq.gz	597081993	98628092	6096089	69472842	8765462	780044478
pls-6_R1_001.fastq.gz	591701994	62167094	6425752	82207510	9905842	752408192
pls-7_R1_001.fastq.gz	588690292	69123541	9136136	89681592	10735723	767367284
pls-8_R1_001.fastq.gz	597710800	58702319	8530372	83575968	9968541	758488000
pls-9_R1_001.fastq.gz	629532661	59035416	4531645	120280388	14376156	827756266
pls-10_R1_001.fastq.gz	617466809	51713694	8029059	98775168	11830776	787815506
pls-11_R1_001.fastq.gz	714890020	44771673	22177794	34148060	4623197	820610744
pls-12_R1_001.fastq.gz	684597561	46816563	4352901	83643926	10186573	829597524
pls-13_R1_001.fastq.gz	668030934	35619534	5093725	90037256	10748783	809530232
pls-14_R1_001.fastq.gz	679327378	41478359	6831922	92128502	11207591	830973752
pls-15_R1_001.fastq.gz	680243167	46523526	5914432	66457966	8354267	807493358
pls-16_R1_001.fastq.gz	678701307	44711179	4179717	95756914	11693885	835043002
pls-17_R1_001.fastq.gz	512077782	107713529	5397388	114586652	13472087	753247438
pls-18_R1_001.fastq.gz	418393242	251459731	5775560	57679008	8876253	742183794
pls-19_R1_001.fastq.gz	587160775	55351982	9721114	92061188	11431645	755726704
pls-20_R1_001.fastq.gz	597276133	36644359	8737118	90988004	10845562	744491176
pls-21_R1_001.fastq.gz	570127401	76940262	5207771	125587536	15280152	793143122
pls-22_R1_001.fastq.gz	557599935	80974378	5565674	105242222	12981207	762363416
pls-23_R1_001.fastq.gz	560008462	90768474	5321761	100600400	12572401	769271498
pls-24_R1_001.fastq.gz	558242437	74713831	6339914	106228334	12959942	758484458
pls-25_R1_001.fastq.gz	580237177	56401863	7158475	76290740	9797103	729885358
pls-26_R1_001.fastq.gz	575608748	90093564	8036234	88737082	11640492	774116120
pls-27_R1_001.fastq.gz	599510727	53102743	7622743	104999180	13182227	778417620
pls-28_R1_001.fastq.gz	589947360	85451826	6229800	84606096	11044426	777279508
pls-29_R1_001.fastq.gz	618153562	65815889	5093341	104785908	12637812	806486512
pls-30_R1_001.fastq.gz	556271565	56314781	8247506	111511320	17661900	750007072
pls-31_R1_001.fastq.gz	584223675	72315552	5473790	85285778	10223987	757522782
pls-32_R1_001.fastq.gz	604904939	63447514	4382038	99131754	11743015	783609260
pls-33_R1_001.fastq.gz	581647454	46255171	3719474	98934866	11642129	742199094
pls-34_R1_001.fastq.gz	574382247	31445156	3648223	125491502	14612358	749579486
pls-35_R1_001.fastq.gz	570146653	30035781	7896026	126507956	14848606	749435022
pls-36_R1_001.fastq.gz	590186066	47111002	5647990	90804434	10697628	744447120
pls-37_R1_001.fastq.gz	593820945	48942476	7612768	118300672	13755531	782432392
pls-38_R1_001.fastq.gz	790106297	35934964	13627497	95121760	11387858	946178376
pls-39_R1_001.fastq.gz	789106095	64741407	11906803	81834244	10087223	957675772
pls-40_R1_001.fastq.gz	674688139	64015765	6305786	128581652	15025916	888617258
pls-41_R1_001.fastq.gz	578395929	71090958	6296000	114012042	13363923	783158852
pls-42_R1_001.fastq.gz	564705999	73733506	7333617	116843656	13669604	776286382
pls-43_R1_001.fastq.gz	575053884	66419236	9697334	99495492	11674596	762340542
pls-44_R1_001.fastq.gz	549209286	63540243	6793880	85257100	10170919	714971428
pls-45_R1_001.fastq.gz	540599396	62812072	7876270	85963786	10465544	707717068
pls-46_R1_001.fastq.gz	729911472	92100367	12676133	84600316	10531894	929820182
pls-47_R1_001.fastq.gz	622263463	59190458	7923085	119194418	13913996	822485420
pls-48_R1_001.fastq.gz	655965002	89900832	37714003	98643850	12187171	894410858
pls-49_R1_001.fastq.gz	733865889	76971996	11192580	76482136	9725861	908238462
pls-50_R1_001.fastq.gz	764969369	87268659	12352913	59424256	8188683	932203880
pls-65_R1_001.fastq.gz	711924425	74574441	10824453	73353660	10573807	881250786
pls-66_R1_001.fastq.gz	736076424	74380899	11454019	35094868	5187824	862194034
pls-53_R1_001.fastq.gz	736096416	80972694	8345319	31157072	4637793	861209294
pls-54_R1_001.fastq.gz	739654177	78095143	9844063	35553668	4837549	867984600
pls-55_R1_001.fastq.gz	454004978	40574118	78961119	24835340	3117087	601492642
pls-56_R1_001.fastq.gz	559689132	40542820	96125854	25151202	3455760	724964768
pls-57_R1_001.fastq.gz	713852500	82578690	15129863	33078182	4903993	849543228
pls-58_R1_001.fastq.gz	691727153	69960404	12067686	22738372	3404225	799897840
pls-59_R1_001.fastq.gz	730927015	50232458	14032807	30554892	4331932	830079104
pls-60_R1_001.fastq.gz	737378773	48894527	13258760	29702024	4328930	833563014
pls-61_R1_001.fastq.gz	721784425	78439057	15355013	27218296	4277103	847073894
pls-62_R1_001.fastq.gz	736834873	66244081	15904469	35349386	5432511	859765320
pls-63_R1_001.fastq.gz	687864111	60952317	9907209	88948148	11389885	859061670
pls-67_R1_001.fastq.gz	741383700	53947828	9495851	69717980	9747071	884292430
